jackson_num,local_file,source_id,slug,title,url,status
54,sermon-054-on-eternity.txt,jw-sermon-054,sermon-54-on-eternity,On Eternity,https://www.resourceumc.org/en/content/sermon-54-on-eternity,matched
55,sermon-055-on-the-trinity.txt,jw-sermon-055,sermon-55-on-the-trinity,On the Trinity,https://www.resourceumc.org/en/content/sermon-55-on-the-trinity,matched
56,sermon-056-gods-approbation-of-his-works.txt,jw-sermon-056,sermon-56-gods-approbation-of-his-work,God's Approbation of His Work,https://www.resourceumc.org/en/content/sermon-56-gods-approbation-of-his-work,matched
57,sermon-057-on-the-fall-of-man.txt,jw-sermon-057,sermon-57-on-the-fall-of-man,On the Fall of Man,https://www.resourceumc.org/en/content/sermon-57-on-the-fall-of-man,matched
58,sermon-058-on-predestination.txt,jw-sermon-058,sermon-58-on-predestination,On Predestination,https://www.resourceumc.org/en/content/sermon-58-on-predestination,matched
59,sermon-059-gods-love-to-fallen-man.txt,jw-sermon-059,sermon-59-gods-love-to-fallen-man,God's Love to Fallen Man,https://www.resourceumc.org/en/content/sermon-59-gods-love-to-fallen-man,matched
60,sermon-060-the-general-deliverance.txt,jw-sermon-060,sermon-60-the-general-deliverence,"General Deliverance, The",https://www.resourceumc.org/en/content/sermon-60-the-general-deliverence,matched
61,sermon-061-the-mystery-of-iniquity.txt,jw-sermon-061,sermon-61-the-mystery-of-iniquity,"Mystery of Iniquity, The",https://www.resourceumc.org/en/content/sermon-61-the-mystery-of-iniquity,matched
62,sermon-062-the-end-of-christs-coming.txt,jw-sermon-062,sermon-62-the-end-of-christs-coming,"End of Christ's Coming, The",https://www.resourceumc.org/en/content/sermon-62-the-end-of-christs-coming,matched
63,sermon-063-the-general-spread-of-the-gospel.txt,jw-sermon-063,sermon-63-the-general-spread-of-the-gospel,"General Spread of the Gospel, The",https://www.resourceumc.org/en/content/sermon-63-the-general-spread-of-the-gospel,matched
64,sermon-064-the-new-creation.txt,jw-sermon-064,sermon-64-the-new-creation,"New Creation, The",https://www.resourceumc.org/en/content/sermon-64-the-new-creation,matched
65,sermon-065-the-duty-of-reproving-our-neighbor.txt,jw-sermon-065,sermon-65-the-duty-of-reproving-our-neighbor,"Duty of Reproving our Neighbor, The",https://www.resourceumc.org/en/content/sermon-65-the-duty-of-reproving-our-neighbor,matched
66,sermon-066-the-signs-of-the-times.txt,jw-sermon-066,sermon-66-the-signs-of-the-times,"Signs of the Times, The",https://www.resourceumc.org/en/content/sermon-66-the-signs-of-the-times,matched
67,sermon-067-on-divine-providence.txt,jw-sermon-067,sermon-67-on-divine-providence,On Divine Providence,https://www.resourceumc.org/en/content/sermon-67-on-divine-providence,matched
68,sermon-068-the-wisdom-of-gods-counsels.txt,jw-sermon-068,sermon-68-the-wisdom-of-gods-counsels,"Wisdom of God's Counsels, The",https://www.resourceumc.org/en/content/sermon-68-the-wisdom-of-gods-counsels,matched
69,sermon-069-the-imperfection-of-human-knowledge.txt,jw-sermon-069,sermon-69-the-imperfection-of-human-knowledge,"Imperfection of Human Knowledge, The",https://www.resourceumc.org/en/content/sermon-69-the-imperfection-of-human-knowledge,matched
70,sermon-070-the-case-of-reason-impartially-considered.txt,jw-sermon-070,sermon-70-the-case-of-reason-impartially-considered,"Case of Reason Impartially Considered, The",https://www.resourceumc.org/en/content/sermon-70-the-case-of-reason-impartially-considered,matched
71,sermon-071-of-good-angels.txt,jw-sermon-071,sermon-71-of-good-angels,Of Good Angels,https://www.resourceumc.org/en/content/sermon-71-of-good-angels,matched
72,sermon-072-of-evil-angels.txt,jw-sermon-072,sermon-72-of-evil-angels,Of Evil Angels,https://www.resourceumc.org/en/content/sermon-72-of-evil-angels,matched
73,sermon-073-of-hell.txt,jw-sermon-073,sermon-73-of-hell,Of Hell,https://www.resourceumc.org/en/content/sermon-73-of-hell,matched
74,sermon-074-of-the-church.txt,jw-sermon-074,sermon-74-of-the-church,Of the Church,https://www.resourceumc.org/en/content/sermon-74-of-the-church,matched
75,sermon-075-on-schism.txt,jw-sermon-075,sermon-75-on-schism,On Schism,https://www.resourceumc.org/en/content/sermon-75-on-schism,matched
76,sermon-076-on-perfection.txt,jw-sermon-076,sermon-76-on-perfection,On Perfection,https://www.resourceumc.org/en/content/sermon-76-on-perfection,matched
