passage_id,reference,book,chapter,verse_start,verse_end,source_title,author
jw-sermon-010-002,1 John 2:29,1 John,2,29,29,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-002,1 John 3:14,1 John,3,14,14,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-002,1 John 4:13,1 John,4,13,13,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-002,1 John 3:24,1 John,3,24,24,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-009,Matthew 3:2,Matthew,3,2,2,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-009,Mark 1:15,Mark,1,15,15,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-009,Acts 2:38,Acts,2,38,38,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-009,Acts 3:19,Acts,3,19,19,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-010,Ephesians 2:1,Ephesians,2,1,1,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-010,Ephesians 2:5-6,Ephesians,2,5,6,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-012,1 John 5:3,1 John,5,3,3,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-012,John 14:21,John,14,21,21,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-014,1 Corinthians 2:14,1 Corinthians,2,14,14,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-015,Acts 23:1,Acts,23,1,1,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-015,Galatians 5:22-23,Galatians,5,22,23,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-015,1 John 1:7,1 John,1,7,7,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-015,Colossians 3:12-14,Colossians,3,12,14,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-015,Ephesians 6:11,Ephesians,6,11,11,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-015,1 John 3:8,1 John,3,8,8,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-016,Galatians 4:6,Galatians,4,6,6,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-016,Romans 8:16,Romans,8,16,16,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-016,1 Corinthians 6:20,1 Corinthians,6,20,20,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-016,1 John 3:1,1 John,3,1,1,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-016,Romans 12:1-2,Romans,12,1,2,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-011-000,Romans 8:16,Romans,8,16,16,"The Witness of the Spirit, Discourse II",john-wesley
jw-sermon-011-001,1 John 5:11,1 John,5,11,11,"The Witness of the Spirit, Discourse II",john-wesley
jw-sermon-011-004,Galatians 4:6,Galatians,4,6,6,"The Witness of the Spirit, Discourse II",john-wesley
jw-sermon-012-002,Romans 2:14-15,Romans,2,14,15,The Witness of Our Own Spirit,john-wesley
jw-sermon-012-003,Acts 23:1,Acts,23,1,1,The Witness of Our Own Spirit,john-wesley
jw-sermon-012-003,Acts 24:16,Acts,24,16,16,The Witness of Our Own Spirit,john-wesley
jw-sermon-012-004,Hebrews 8:10,Hebrews,8,10,10,The Witness of Our Own Spirit,john-wesley
jw-sermon-012-007,Philippians 3:7-8,Philippians,3,7,8,The Witness of Our Own Spirit,john-wesley
jw-sermon-013-003,Galatians 5:17,Galatians,5,17,17,On Sin in Believers,john-wesley
jw-sermon-013-003,1 Corinthians 1:2,1 Corinthians,1,2,2,On Sin in Believers,john-wesley
jw-sermon-013-003,1 Corinthians 3:1-3,1 Corinthians,3,1,3,On Sin in Believers,john-wesley
jw-sermon-013-004,Revelation 2:2-4,Revelation,2,2,4,On Sin in Believers,john-wesley
jw-sermon-013-004,Revelation 2:13-16,Revelation,2,13,16,On Sin in Believers,john-wesley
jw-sermon-013-004,Revelation 3:2,Revelation,3,2,2,On Sin in Believers,john-wesley
jw-sermon-013-004,Revelation 3:3,Revelation,3,3,3,On Sin in Believers,john-wesley
jw-sermon-013-008,1 Corinthians 6:9-10,1 Corinthians,6,9,10,On Sin in Believers,john-wesley
jw-sermon-013-008,1 Corinthians 6:19,1 Corinthians,6,19,19,On Sin in Believers,john-wesley
jw-sermon-013-010,Romans 8:1,Romans,8,1,1,On Sin in Believers,john-wesley
jw-sermon-013-011,Colossians 1:24,Colossians,1,24,24,On Sin in Believers,john-wesley
jw-sermon-013-011,Hebrews 12:22,Hebrews,12,22,22,On Sin in Believers,john-wesley
jw-sermon-013-011,Galatians 5:24,Galatians,5,24,24,On Sin in Believers,john-wesley
jw-sermon-013-011,Colossians 3:9,Colossians,3,9,9,On Sin in Believers,john-wesley
jw-sermon-013-011,Ephesians 5:25-27,Ephesians,5,25,27,On Sin in Believers,john-wesley
jw-sermon-014-000,Mark 1:15,Mark,1,15,15,The Repentance of Believers,john-wesley
jw-sermon-014-013,Deuteronomy 30:6,Deuteronomy,30,6,6,The Repentance of Believers,john-wesley
jw-sermon-014-014,Ezekiel 36:25,Ezekiel,36,25,25,The Repentance of Believers,john-wesley
jw-sermon-014-014,Luke 1:68,Luke,1,68,68,The Repentance of Believers,john-wesley
jw-sermon-015-000,Romans 14:10,Romans,14,10,10,The Great Assize,john-wesley
jw-sermon-015-002,Acts 2:19,Acts,2,19,19,The Great Assize,john-wesley
jw-sermon-015-002,Isaiah 24:20,Isaiah,24,20,20,The Great Assize,john-wesley
jw-sermon-015-002,Luke 21:2,Luke,21,2,2,The Great Assize,john-wesley
jw-sermon-015-002,Revelation 16:20,Revelation,16,20,20,The Great Assize,john-wesley
jw-sermon-015-002,Luke 21:25,Luke,21,25,25,The Great Assize,john-wesley
jw-sermon-015-002,Joel 2:30,Joel,2,30,30,The Great Assize,john-wesley
jw-sermon-015-002,Luke 21:25-26,Luke,21,25,26,The Great Assize,john-wesley
jw-sermon-015-002,Joel 2:31,Joel,2,31,31,The Great Assize,john-wesley
jw-sermon-015-002,Joel 3:15,Joel,3,15,15,The Great Assize,john-wesley
jw-sermon-015-002,Revelation 6:13,Revelation,6,13,13,The Great Assize,john-wesley
jw-sermon-015-002,1 Thessalonians 4:16,1 Thessalonians,4,16,16,The Great Assize,john-wesley
jw-sermon-015-002,Revelation 20:13,Revelation,20,13,13,The Great Assize,john-wesley
jw-sermon-015-003,1 Corinthians 15:53,1 Corinthians,15,53,53,The Great Assize,john-wesley
jw-sermon-015-003,Revelation 20:13,Revelation,20,13,13,The Great Assize,john-wesley
jw-sermon-015-003,Matthew 24:31,Matthew,24,31,31,The Great Assize,john-wesley
jw-sermon-015-003,Matthew 25:31,Matthew,25,31,31,The Great Assize,john-wesley
jw-sermon-015-003,Revelation 20:12,Revelation,20,12,12,The Great Assize,john-wesley
jw-sermon-015-004,Hebrews 1:3,Hebrews,1,3,3,The Great Assize,john-wesley
jw-sermon-015-004,John 5:22-27,John,5,22,27,The Great Assize,john-wesley
jw-sermon-015-004,Philippians 2:6-7,Philippians,2,6,7,The Great Assize,john-wesley
jw-sermon-015-005,1 Thessalonians 4:16-17,1 Thessalonians,4,16,17,The Great Assize,john-wesley
jw-sermon-015-006,Matthew 12:36-37,Matthew,12,36,37,The Great Assize,john-wesley
jw-sermon-015-008,Ezekiel 18:21-22,Ezekiel,18,21,22,The Great Assize,john-wesley
jw-sermon-015-008,Jeremiah 31:34,Jeremiah,31,34,34,The Great Assize,john-wesley
jw-sermon-015-008,Hebrews 8:12,Hebrews,8,12,12,The Great Assize,john-wesley
jw-sermon-015-011,Revelation 20:11,Revelation,20,11,11,The Great Assize,john-wesley
jw-sermon-015-012,Revelation 4:6,Revelation,4,6,6,The Great Assize,john-wesley
jw-sermon-015-014,Isaiah 65:17,Isaiah,65,17,17,The Great Assize,john-wesley
jw-sermon-015-014,Revelation 21:1,Revelation,21,1,1,The Great Assize,john-wesley
jw-sermon-015-023,John 3:18,John,3,18,18,The Great Assize,john-wesley
jw-sermon-015-023,John 5:24,John,5,24,24,The Great Assize,john-wesley
jw-sermon-015-023,John 9:39,John,9,39,39,The Great Assize,john-wesley
