source_id,slug,title,corpus,open
cw-048-christ-our-wisdom-1-corinthians-130,cw/hymns/misc/048-christ-our-wisdom-1-corinthians-130,048 Christ Our Wisdom 1 Corinthians 130,cw-hymns-misc,True
cw-049-christ-our-righteousness-1-corinthians-130,cw/hymns/misc/049-christ-our-righteousness-1-corinthians-130,049 Christ Our Righteousness 1 Corinthians 130,cw-hymns-misc,True
cw-050-christ-our-sanctification-1-corinthians-130,cw/hymns/misc/050-christ-our-sanctification-1-corinthians-130,050 Christ Our Sanctification 1 Corinthians 130,cw-hymns-misc,True
cw-051-christ-our-redemption-1-corinthians-130,cw/hymns/misc/051-christ-our-redemption-1-corinthians-130,051 Christ Our Redemption 1 Corinthians 130,cw-hymns-misc,True
cw-052-it-is-very-meet-right-and-our-bounden-duty,cw/hymns/misc/052-it-is-very-meet-right-and-our-bounden-duty,052 It Is Very Meet Right And Our Bounden Duty,cw-hymns-misc,True
cw-053-hymn-to-the-trinity,cw/hymns/misc/053-hymn-to-the-trinity,053 Hymn To The Trinity,cw-hymns-misc,True
cw-056-hymn-to-the-trinity-another-3,cw/hymns/misc/056-hymn-to-the-trinity-another-3,056 Hymn To The Trinity Another 3,cw-hymns-misc,True
cw-058-another-samuel-wesley-sr-another-1,cw/hymns/misc/058-another-samuel-wesley-sr-another-1,058 Another Samuel Wesley Sr Another 1,cw-hymns-misc,True
cw-059-another-samuel-wesley-sr-another-2,cw/hymns/misc/059-another-samuel-wesley-sr-another-2,059 Another Samuel Wesley Sr Another 2,cw-hymns-misc,True
cw-060-hymn-for-the-kingswood-colliers,cw/hymns/misc/060-hymn-for-the-kingswood-colliers,060 Hymn For The Kingswood Colliers,cw-hymns-misc,True
cw-061-to-be-sung-while-at-work,cw/hymns/misc/061-to-be-sung-while-at-work,061 To Be Sung While At Work,cw-hymns-misc,True
cw-062-isaiah-35,cw/hymns/misc/062-isaiah-35,062 Isaiah 35,cw-hymns-misc,True
cw-063-for-a-minister,cw/hymns/misc/063-for-a-minister,063 For A Minister,cw-hymns-misc,True
cw-064-at-setting-out-to-preach-the-gospel,cw/hymns/misc/064-at-setting-out-to-preach-the-gospel,064 At Setting Out To Preach The Gospel,cw-hymns-misc,True
cw-065-acts-424-etc,cw/hymns/misc/065-acts-424-etc,065 Acts 424 Etc,cw-hymns-misc,True
cw-066-to-be-sung-in-a-tumult,cw/hymns/misc/066-to-be-sung-in-a-tumult,066 To Be Sung In A Tumult,cw-hymns-misc,True
cw-067-1-john-318-little-children-love-one-another,cw/hymns/misc/067-1-john-318-little-children-love-one-another,067 1 John 318 Little Children Love One Another,cw-hymns-misc,True
cw-068-for-the-anniversary-day-of-ones-conversion,cw/hymns/misc/068-for-the-anniversary-day-of-ones-conversion,068 For The Anniversary Day Of Ones Conversion,cw-hymns-misc,True
cw-069-1-john-23,cw/hymns/misc/069-1-john-23,069 1 John 23,cw-hymns-misc,True
cw-070-to-be-sung-at-meals,cw/hymns/misc/070-to-be-sung-at-meals,070 To Be Sung At Meals,cw-hymns-misc,True
cw-071-before-a-journey,cw/hymns/misc/071-before-a-journey,071 Before A Journey,cw-hymns-misc,True
cw-072-before-a-journey-another-1,cw/hymns/misc/072-before-a-journey-another-1,072 Before A Journey Another 1,cw-hymns-misc,True
cw-073-on-a-journey,cw/hymns/misc/073-on-a-journey,073 On A Journey,cw-hymns-misc,True
cw-074-after-a-journey,cw/hymns/misc/074-after-a-journey,074 After A Journey,cw-hymns-misc,True
cw-075-at-lying-down,cw/hymns/misc/075-at-lying-down,075 At Lying Down,cw-hymns-misc,True
cw-076-groaning-for-the-spirit-of-adoption,cw/hymns/misc/076-groaning-for-the-spirit-of-adoption,076 Groaning For The Spirit Of Adoption,cw-hymns-misc,True
cw-077-universal-redemption,cw/hymns/misc/077-universal-redemption,077 Universal Redemption,cw-hymns-misc,True
