source_id,author,title,source_type,passages,words,non_word_rate,header_passages,top_offenders
jw-letter-1787-36-to-alexander-suter,john-wesley,36 To Alexander Suter,letter,1,132,0.0152,0,cassocks:1; administering:1
jw-letter-1789a-15-to-mrs-rogers,john-wesley,A 15 To Mrs Rogers,letter,1,197,0.0152,0,awakened:1; liked:1; Laffan's:1
jw-letter-1751-11-to-ebenezer-blackwell,john-wesley,11 To Ebenezer Blackwell,letter,1,199,0.0151,0,inclined:1; wife's:1; encumbrances:1
jw-letter-1752-04-to-his-wife,john-wesley,04 To His Wife,letter,1,199,0.0151,0,mentioning:1; benefits:1; conversed:1
jw-letter-1748-05-to-howell-harris,john-wesley,05 To Howell Harris,letter,1,266,0.015,0,SwindellsRobert:1; suffered:1; views:1; detained:1
jw-letter-1750-13-to-joshua-strangman,john-wesley,13 To Joshua Strangman,letter,1,200,0.015,0,Strangman:1; choked:1; fairest:1
jw-letter-1765-13-to-the-leaders-and-stewards-limerick-june-9-1765,john-wesley,13 To The Leaders And Stewards Limerick June 9 1765,letter,1,133,0.015,0,Cuthbert's:1; shows:1
jw-letter-1769-18-to-lady-maxwell,john-wesley,18 To Lady Maxwell,letter,1,267,0.015,0,quickening:1; affections:1; draws:1; shrinks:1
jw-letter-1771-20-to-damaris-perronet,john-wesley,20 To Damaris Perronet,letter,3,868,0.015,0,believed:2; depends:1; vales:1; chooses:1; prescribes:1; flames:1; Potter's:1; seas:1; wanderings:1; ceasing:1; seemeth:1; increased:1
jw-letter-1771-24-to-ann-bolton,john-wesley,24 To Ann Bolton,letter,1,200,0.015,0,concerns:1; bruised:1; befalling:1
jw-letter-1771-87-to-thomas-simpson,john-wesley,87 To Thomas Simpson,letter,1,133,0.015,0,Glascock:1; became:1
jw-letter-1786b-01-to-adam-clarke,john-wesley,B 01 To Adam Clarke,letter,1,133,0.015,0,imagined:1; staying:1
jw-letter-1787-04-to-jane-bisson,john-wesley,04 To Jane Bisson,letter,1,133,0.015,0,lines:1; returns:1
jw-letter-1788a-32-to-john-stretton,john-wesley,A 32 To John Stretton,letter,1,200,0.015,0,Balfour:1; lieth:1; objections:1
jw-letter-1788a-45-to-william-simpson,john-wesley,A 45 To William Simpson,letter,1,133,0.015,0,straitened:1; wanted:1
jw-letter-1788b-32-to-mr------,john-wesley,B 32 To Mr      ,letter,1,200,0.015,0,refers:1; degrees:1; professions:1
jw-letter-1738-19-to-the-church-at-herrnhut,john-wesley,19 To The Church At Herrnhut,letter,2,537,0.0149,0,WISHETH:1; endeavoring:1; consisting:1; evenings:1; petitions:1; cleanseth:1; walked:1; appearing:1
jw-letter-1762-15-to-christopher-hopper-cork-june-18-1762,john-wesley,15 To Christopher Hopper Cork June 18 1762,letter,1,201,0.0149,0,remaining:1; behaved:1; hindered:1
jw-letter-1771-51-to-mrs-bennis,john-wesley,51 To Mrs Bennis,letter,1,269,0.0149,0,dispensations:1; fixes:1; continues:1; wants:1
jw-letter-1757-10-to-mrs-crosby,john-wesley,10 To Mrs Crosby,letter,1,135,0.0148,0,constrains:1; strongest:1
jw-letter-1769-31-to-mrs-woodhouse,john-wesley,31 To Mrs Woodhouse,letter,1,135,0.0148,0,failed:1; receives:1
jw-letter-1777-18-to-alexander-knox,john-wesley,18 To Alexander Knox,letter,1,203,0.0148,0,returns:1; delays:1; suffered:1
jw-letter-1778-34-to-alexander-knox,john-wesley,34 To Alexander Knox,letter,1,270,0.0148,0,prevented:1; mercies:1; chastised:1; careth:1
jw-letter-1782a-41-to-john-bredin,john-wesley,A 41 To John Bredin,letter,1,135,0.0148,0,informing:1; reminding:1
jw-letter-1782b-25-to-ann-bolton,john-wesley,B 25 To Ann Bolton,letter,1,203,0.0148,0,particulars:1; occurred:1; melts:1
jw-letter-1782b-36-to-mrs-bradburn,john-wesley,B 36 To Mrs Bradburn,letter,1,203,0.0148,0,renewed:1; strongest:1; jars:1
jw-letter-1784b-27-to-martha-chapman,john-wesley,B 27 To Martha Chapman,letter,1,203,0.0148,0,granted:1; gained:1; regained:1
jw-letter-1788b-36-to-walter-churchey,john-wesley,B 36 To Walter Churchey,letter,1,203,0.0148,0,pounds:1; placing:1; lines:1
jw-letter-1789a-70-to-arthur-keene,john-wesley,A 70 To Arthur Keene,letter,1,68,0.0147,0,D'Olier's:1
jw-letter-1773-07-to-mrs-barton-beverley,john-wesley,07 To Mrs Barton Beverley,letter,1,137,0.0146,0,provisions:1; windows:1
jw-letter-1773-08-to-mrs-pywell,john-wesley,08 To Mrs Pywell,letter,1,206,0.0146,0,hopes:1; quickened:1; opportunities:1
jw-letter-1775-49-to-thomas-rankin,john-wesley,49 To Thomas Rankin,letter,1,343,0.0146,0,Atticus:1; tools:1; purposes:1; Athithophel:1; sharpened:1
jw-letter-1735-02-to-his-brother-samuel,john-wesley,02 To His Brother Samuel,letter,1,207,0.0145,0,founded:1; cures:1; pupils:1
jw-letter-1760-09-to-miss-march-dublin-april-16-1760-eltham-is-a-bar,john-wesley,09 To Miss March Dublin April 16 1760 Eltham Is A Bar,letter,1,276,0.0145,0,Eltham:1; contributes:1; squandered:1; employments:1
jw-letter-1771-50-to-miss-march,john-wesley,50 To Miss March,letter,2,414,0.0145,0,dulling:1; cleansed:1; defects:1; required:1; neighbour:1; explains:1
jw-letter-1775-62-to-his-brother-charles,john-wesley,62 To His Brother Charles,letter,1,345,0.0145,0,pounds:1; putting:1; Jenny's:1; destroying:1; papers:1
jw-letter-1775-70-to-william-pine,john-wesley,70 To William Pine,letter,1,69,0.0145,0,particulars:1
jw-letter-1779-21-to-george-gidley,john-wesley,21 To George Gidley,letter,1,138,0.0145,0,asking:1; neighbors:1
jw-letter-1779-56-to-mrs-barton,john-wesley,56 To Mrs Barton,letter,1,138,0.0145,0,sorts:1; burthen:1
jw-letter-1781b-28-to-mrs-foley,john-wesley,B 28 To Mrs Foley,letter,1,69,0.0145,0,prevented:1
jw-letter-1783a-06-to-john-valton,john-wesley,A 06 To John Valton,letter,1,138,0.0145,0,butcher's:1; expelled:1
jw-letter-1783b-18-to-mrs-howton,john-wesley,B 18 To Mrs Howton,letter,1,138,0.0145,0,hopes:1; modes:1
jw-letter-1783b-33-to-ann-loxdale,john-wesley,B 33 To Ann Loxdale,letter,1,345,0.0145,0,Mm:1; dated:1; refrained:1; expelling:1; strongest:1
jw-letter-1784b-04-to-frances-godfrey,john-wesley,B 04 To Frances Godfrey,letter,1,138,0.0145,0,helps:1; passeth:1
jw-letter-1785a-32-to-zachariah-yewdall,john-wesley,A 32 To Zachariah Yewdall,letter,1,207,0.0145,0,soul's:1; mayest:1; Yewdart:1
jw-letter-1785b-04-to-arthur-keene,john-wesley,B 04 To Arthur Keene,letter,1,275,0.0145,0,says:1; shank's:1; lb:1; Neill:1
jw-letter-1789b-10-to-dr-ford,john-wesley,B 10 To Dr Ford,letter,1,69,0.0145,0,Mowbray:1
jw-letter-1791-20-to-henry-moore,john-wesley,20 To Henry Moore,letter,1,69,0.0145,0,followed:1
cw-015-thanksgiving-for-her-deliverance,charles-wesley,015 Thanksgiving For Her Deliverance,hymn,3,556,0.0144,0,frees:2; hosannas:2; edn:2; rages:2
jw-letter-1759-08-to-ebenezer-blackwell-norwich-march-12-1759,john-wesley,08 To Ebenezer Blackwell Norwich March 12 1759,letter,2,417,0.0144,0,terms:1; endeavouring:1; consisting:1; mouldered:1; reunited:1; larger:1
jw-letter-1774-55-to-joseph-benson,john-wesley,55 To Joseph Benson,letter,1,139,0.0144,0,lines:1; discouraged:1
jw-letter-1757-09-to-dorothy-furly,john-wesley,09 To Dorothy Furly,letter,1,349,0.0143,0,influenced:1; advocates:1; paths:1; suffered:1; writes:1
jw-letter-1764-18-to-dorothy-furly-edinburgh-may-28-1764,john-wesley,18 To Dorothy Furly Edinburgh May 28 1764,letter,1,210,0.0143,0,providences:1; leadings:1; workings:1
jw-letter-1764-21-to-lady-maxwell,john-wesley,21 To Lady Maxwell,letter,3,489,0.0143,0,inclines:1; rises:1; worshipping:1; walked:1; succeeded:1; pressures:1; advices:1
jw-letter-1769-23-to-john-mason,john-wesley,23 To John Mason,letter,1,70,0.0143,0,stationed:1
jw-letter-1773-25-to-george-shadford,john-wesley,25 To George Shadford,letter,1,70,0.0143,0,arrived:1
jw-letter-1774-28-to-elizabeth-ritchie,john-wesley,28 To Elizabeth Ritchie,letter,1,210,0.0143,0,believed:1; remaining:1; healed:1
jw-letter-1761-10-to-dr-green,john-wesley,10 To Dr Green,letter,2,636,0.0142,0,lines:1; deepest:1; wretches:1; associates:1; conceives:1; writings:1; termed:1; adhered:1; labours:1
jw-letter-1773-16-to-john-valton,john-wesley,16 To John Valton,letter,1,141,0.0142,0,patients:1; workers:1
jw-letter-1777-54-to-christopher-hopper,john-wesley,54 To Christopher Hopper,letter,1,212,0.0142,0,says:1; hindered:1; Sycophants:1
jw-letter-1780b-21-to-samuel-bradburn,john-wesley,B 21 To Samuel Bradburn,letter,1,141,0.0142,0,seas:1; named:1
jw-letter-1784b-03-to-arthur-keene,john-wesley,B 03 To Arthur Keene,letter,1,211,0.0142,0,issued:1; hopes:1; Hyden:1
jw-letter-1764-04-to-mrs-freeman,john-wesley,04 To Mrs Freeman,letter,1,142,0.0141,0,altering:1; superadded:1
jw-letter-1780a-02-to-mrs-rose,john-wesley,A 02 To Mrs Rose,letter,1,71,0.0141,0,purified:1
jw-letter-1790b-09-to-sarah-mallet,john-wesley,B 09 To Sarah Mallet,letter,1,283,0.0141,0,reproached:1; name's:1; troubles:1; other's:1
cw-wrestling-jacob,charles-wesley,Wrestling Jacob,hymn,15,1142,0.014,0,mercies:4; strugglest:2; conquered:2; diedst:2; shadows:2; wings:2; o'ercome:2
jw-letter-1773-23-to-mrs-barton-hull,john-wesley,23 To Mrs Barton Hull,letter,1,143,0.014,0,travelers:1; advantages:1
jw-letter-1774-93-to-mrs-barton,john-wesley,93 To Mrs Barton,letter,1,215,0.014,0,observes:1; enabled:1; chasteneth:1
jw-letter-1775-71-to-mary-bosanquet,john-wesley,71 To Mary Bosanquet,letter,1,215,0.014,0,letting:1; lands:1; procuring:1
jw-letter-1776-14-to-thomas-rutherford,john-wesley,14 To Thomas Rutherford,letter,1,286,0.014,0,censures:1; stumbled:1; critics:1; terms:1
jw-letter-1776-52-to-mrs-downes,john-wesley,52 To Mrs Downes,letter,1,143,0.014,0,exercising:1; talents:1
jw-letter-1784a-23-to-brian-bury-collins,john-wesley,A 23 To Brian Bury Collins,letter,1,286,0.014,0,surprised:2; Witherspoon:1; ties:1
jw-letter-1786a-46-to-sophia-cooke,john-wesley,A 46 To Sophia Cooke,letter,1,143,0.014,0,believed:1; wanted:1
jw-letter-1750-05-to-mrs-bennet,john-wesley,05 To Mrs Bennet,letter,1,72,0.0139,0,wants:1
jw-letter-1762-06-to-thomas-rankin,john-wesley,06 To Thomas Rankin,letter,1,72,0.0139,0,enforcing:1
jw-letter-1772-65-to-philothea-briggs,john-wesley,65 To Philothea Briggs,letter,1,72,0.0139,0,cases:1
jw-letter-1775-08-to-ann-bolton,john-wesley,08 To Ann Bolton,letter,1,72,0.0139,0,suffered:1
jw-letter-1775-50-to-ann-bolton,john-wesley,50 To Ann Bolton,letter,1,216,0.0139,0,seemed:1; encumbered:1; preparing:1
jw-letter-1776-41-to-joseph-benson,john-wesley,41 To Joseph Benson,letter,1,144,0.0139,0,burthen:1; asserters:1
