bicentennial,jackson_running,sugden,source_id,in_corpus,title,scripture,date,bicentennial_ref,jackson_ref,sugden_ref,notes
89,89,,jw-sermon-089,True,The More Excellent Way,1 Cor. 12:31,July-Aug. 1787,3:262-277,VII:26-37,,
90,90,,jw-sermon-090,True,An Israelite Indeed,John 1:47,July-Aug. 1785,3:278-289,VII:37-45,,
91,91,,jw-sermon-091,True,On Charity,1 Cor. 13:1-3,"Oct. 15, 1784",3:290-307,VII:45-57,,
92,92,,jw-sermon-092,True,On Zeal,Gal. 4:18,"May 6, 1781",3:308-321,VII:57-67,,
93,93,,jw-sermon-093,True,On Redeeming the Time,Eph. 5:16,"Jan. 20, 1782",3:322-332,VII:67-75,,
94,94,,jw-sermon-094,True,On Family Religion,Josh. 24:15,"May 26, 1783",3:333-346,VII:76-86,,
95,95,,jw-sermon-095,True,On the Education of Children,Prov. 22:6,"July 12, 1783",3:347-360,VII:86-98,,
96,96,,jw-sermon-096,True,On Obedience to Parents,Col. 3:20,Sept.-Oct. 1784,3:361-372,VII:98-108,,
97,97,,jw-sermon-097,True,On Obedience to Pastors,Heb. 13:17,"Mar. 18, 1785",3:373-383,VII:108-116,,
98,98,,jw-sermon-098,True,On Visiting the Sick,Matt. 25:36,"May 23, 1786",3:384-397,VII:117-127,,
99,99,,jw-sermon-099,True,The Reward of Righteousness,Matt. 25:34,"Nov. 23, 1777",3:399-414,VII:127-138,,
100,100,,jw-sermon-100,True,On Pleasing All Men,Rom. 15:2,"May 22, 1787",3:415-426,VII:139-146,,
101,101,,jw-sermon-101,True,The Duty of Constant Communion,Luke 22:19,(1787),3:427-439,VII:147-157,,
102,102,,jw-sermon-102,True,Of Former Times,Eccles. 7:10,"June 27, 1787",3:440-453,VII:157-166,,
103,103,,jw-sermon-103,True,What is Man? (I),Ps. 8:3-4,"July 23, 1787",3:454-463,VII:167-174,,
104,104,,jw-sermon-104,True,On Attending the Church Service,1 Sam. 2:17,"Oct. 7, 1787",3:464-478,VII:174-185,,
105,105,,jw-sermon-105,True,On Conscience,2 Cor. 1:12,"Apr. 8, 1788",3:479-490,VII:186-194,,
106,106,,jw-sermon-106,True,On Faith (I),Heb. 11:6,"Apr. 9, 1788",3:491-501,VII:195-202,,
107,107,,jw-sermon-107,True,On God's Vineyard,Isa. 5:4,"Oct. 17, 1787",3:502-517,VII:202-213,,
108,108,,jw-sermon-108,True,On Riches,Matt. 19:24,"Apr. 22, 1788",3:518-528,VII:214-222,,
109,127,,jw-sermon-127,True,The Trouble and Rest of Good Men,Job 3:17,"Sept. 21, 1735",3:531-541,VII:365-372,,corpus stores as jw-sermon-127; jw-sermon-cw1816-xiii is a duplicate of this sermon found bundled in the 1816 CW memoir volume
110,128,,jw-free-grace,True,Free Grace,Rom. 8:32,"Apr. 29, 1739",3:542-563,VII:373-386,,"corpus stores as jw-free-grace, not jw-sermon-128"
111,130,,jw-sermon-130,True,National Sins and Miseries,2 Sam. 24:17,"Nov. 7, 1775",3:564-576,VII:400-408,,
112,132,,jw-sermon-132,True,On Laying the Foundation of the New Chapel,Num. 23:23,"Apr. 21, 1777",3:577-592,VII:419-430,,
113,131,,jw-sermon-131,True,The Late Work of God in North America,Ezek. 1:16,1778,3:594-608,VII:409-419,,
114,133,,jw-sermon-133,True,On the Death of John Fletcher,Ps. 37:37,"Oct. 24, 1785",3:610-630,VII:431-449,,
115,112,,jw-sermon-112,True,Dives and Lazarus,Luke 16:31,"Mar. 25, 1788",4:4-18,VII:244-255,,
116,109,,jw-sermon-109,True,What is Man? (II),Ps. 8:4,"May 2, 1788",4:19-27,VII:225-230,,
117,110,,jw-sermon-110,True,On the Discoveries of Faith,Heb. 11:1,"June 11, 1788",4:28-38,VII:231-238,,
118,111,,jw-sermon-111,True,On the Omnipresence of God,Jer. 23:24,"Aug. 12, 1788",4:39-47,VII:238-244,,
119,113,,jw-sermon-113,True,Walking by Sight and Walking by Faith,2 Cor. 5:7,"Dec. 30, 1788",4:48-59,VII:256-264,,
120,114,,jw-sermon-114,True,The Unity of the Divine Being,Mark 12:32-33,"Apr. 9, 1789",4:60-71,VII:264-273,,
121,115,,jw-sermon-115,True,Prophets and Priests,Heb. 5:4,"May 4, 1789",4:72-84,VII:273-281,,
122,116,,jw-sermon-116,True,Causes of the Inefficacy of Christianity,Jer. 8:22,"July 2, 1789",4:85-96,VII:281-290,,
123,117,,jw-sermon-117,True,On Knowing Christ after the Flesh,2 Cor. 5:16,"Aug. 15, 1789",4:97-106,VII:291-296,,
124,121,,jw-sermon-121,True,Human Life a Dream,Ps. 73:20,Aug. 1789,4:108-119,VII:318-325,,
125,118,,jw-sermon-118,True,On a Single Eye,Matt. 6:22-23,"Sept. 25, 1789",4:120-130,VII:297-305,,
126,119,,jw-sermon-119,True,On Worldly Folly,Luke 12:20,"Feb. 19, 1790",4:131-138,VII:305-311,,
127,120,,jw-sermon-120,True,On the Wedding Garment,Matt. 22:12,"Mar. 26, 1790",4:139-148,VII:311-317,,
128,123,,jw-sermon-123,True,The Deceitfulness of the Human Heart,Jer. 17:9,"Apr. 21, 1790",4:149-160,VII:335-343,,
129,124,,jw-sermon-124,True,Heavenly Treasure in Earthen Vessels,2 Cor. 4:7,"June 17, 1790",4:161-167,VII:344-348,,
130,125,,jw-sermon-125,True,On Living without God,Eph. 2:12,"July 6, 1790",4:168-176,VII:349-354,,
131,126,,jw-sermon-126,True,The Danger of Increasing Riches,Ps. 62:10,"Sept. 21, 1790",4:177-186,VII:355-362,,
132,122,,jw-sermon-122,True,On Faith (II),Heb. 11:1,"Jan. 17, 1791",4:187-200,VII:326-335,,
136,135,,jw-sermon-135,True,On Mourning for the Dead,2 Sam. 12:23,"Jan. 11, 1727",4:236-243,VII:463-468,,
137,136,,jw-sermon-136,True,On Corrupting the Word of God,2 Cor. 2:17,"Oct. 6, 1727",4:244-251,VII:468-473,,
143,140,,jw-sermon-140,True,Public Diversions Denounced,Amos 3:6,"Sept. 3, 1732",4:318-328,VII:500-508,,
149,139,,jw-sermon-139,True,On Love,1 Cor. 13:3,"Feb. 20, 1737",4:378-388,VII:492-499,,
150,134,,jw-sermon-134,True,Hypocrisy in Oxford (English),Isa. 1:21,"June 24, 1741",4:389-407,VII:452-462,,
